At which research institution are you a student or staff member?,Which of these terms best describe your career stage or role? (select one or more),How would you describe your MATLAB experience? (Using terms defined by The Carpentries),Please add any additional detail if you wish,"How would you describe your experience of software development and code in general?

Please consider any experience you have of MATLAB as well as other languages and tools outside of MATLAB.",Please add any additional detail if you wish,"Please indicate whether you are aware of the following concepts in research software reproducibility and whether you use them in your work. [Version control (e.g. git, subversion, mercurial, etc.)]","Please indicate whether you are aware of the following concepts in research software reproducibility and whether you use them in your work. [Online code hosting (e.g. GitHub, GitLab, BitBucket)]","Please indicate whether you are aware of the following concepts in research software reproducibility and whether you use them in your work. [Dependency and/or  environment management (e.g. conda, renv, etc.)]","Please indicate whether you are aware of the following concepts in research software reproducibility and whether you use them in your work. [Continuous Integration/Deployment (e.g. automated testing, GitHub Actions, Travis, Jenkins etc.)]","Please indicate whether you are aware of the following concepts in research software reproducibility and whether you use them in your work. [Literate programming (e.g. jupyter notebooks, rmarkdown, live scripts, quarto)]",Please indicate whether you are aware of the following concepts in research software reproducibility and whether you use them in your work. [Documentation generation and version control],Please indicate whether you are aware of the following concepts in research software reproducibility and whether you use them in your work. [Data availability and version control],Please indicate whether you are aware of the following concepts in research software reproducibility and whether you use them in your work. [Software testing],Is there anything else you'd like to tell us following this question?,"Do you use git as a version control system with MATLAB? If so, which interface(s) do you use?",Is there anything else you'd like to tell us following this question?,Which of the following MATLAB tools and language features do you use?,"If you have indicated that you’re aware of a tool or reproducibility concept but that you don’t use it, please tell us what would make you more likely to use it.","Of these tools, please indicate whether you would like to learn about them and if so, whether you'd prefer to learn yourself or in structured training. [MATLAB Projects (https://uk.mathworks.com/help/matlab/projects.html)]","Of these tools, please indicate whether you would like to learn about them and if so, whether you'd prefer to learn yourself or in structured training. [Testing (https://uk.mathworks.com/help/matlab/matlab-unit-test-framework.html)]","Of these tools, please indicate whether you would like to learn about them and if so, whether you'd prefer to learn yourself or in structured training. [Live Scripts (https://uk.mathworks.com/help/matlab/live-scripts-and-functions.html)]","Of these tools, please indicate whether you would like to learn about them and if so, whether you'd prefer to learn yourself or in structured training. [Version control (e.g. git)]","Of these tools, please indicate whether you would like to learn about them and if so, whether you'd prefer to learn yourself or in structured training. [Custom MATLAB Toolbox Development]","Of these tools, please indicate whether you would like to learn about them and if so, whether you'd prefer to learn yourself or in structured training. [Publishing code (sharing code with a research publication)]","Of these tools, please indicate whether you would like to learn about them and if so, whether you'd prefer to learn yourself or in structured training. [Software Licensing]","In general, which training formats do you favour for learning coding/software development skills?","When you seek guidance in writing code, where do you turn to?",Is there anything else you’d like to share on the topic of MATLAB and reproducibility methods?
University of Manchester,Research Software Engineer/Software Developer,Competent Practitioner,Learnt and used MATLAB specifically for a 4 year project having a background in C++ development. Now deliver MATLAB training / consultancy as part of my RSE position.,Expert,,Aware of and use with MATLAB,Aware of and use with MATLAB,Aware of and use outside MATLAB,Aware of and use outside MATLAB,Aware of and use outside MATLAB,Aware of and use with MATLAB,Aware of and use with MATLAB,Aware of and use with MATLAB,,git's command line interface,,"Functions, Classes and Object-Oriented Programming, Testing (https://uk.mathworks.com/help/matlab/matlab-unit-test-framework.html)","I investigated continuous integration for MATLAB, but code I was working with was on my supervisor's private repository and at the time free CI tools for MATLAB in private repos were limited. Would be interested in revisiting this. I have encountered a lot of very bad widely available MATLAB code.",Would like to learn (on my own),Would like to learn (on my own),Would like to learn (on my own),Already familiar with,Would like to learn (in structured training),Would like to learn (on my own),Would like to learn (on my own),"In-person practical, Remote (online) practical, Written tutorials, Video tutorials","Official documentation, Third-party online guidance, Online Q&A/Forums/Stack Overflow/MATLAB Central","I've seen a lot of very fragile MATLAB code publicly available, I feel that some better software engineering practices would make things a lot better."
NYU,Doctoral Student (PhD/EngD or similar),Competent Practitioner,,Competent Practitioner,,Aware of and use outside MATLAB,"Aware of and use with MATLAB, Aware of and use outside MATLAB",Aware of and use outside MATLAB,Aware of and use outside MATLAB,Aware of and use outside MATLAB,Aware of and use outside MATLAB,Aware of and use outside MATLAB,Aware of and use outside MATLAB,,"git's command line interface, Other development environment git interface (e.g. VScode, Rstudio, PyCharm)",,"Functions, Live Scripts (https://uk.mathworks.com/help/matlab/live-scripts-and-functions.html)",,Not interested,Not interested,Not interested,Not interested,Not interested,Would like to learn (on my own),Not interested,"Remote (online) practical, Written tutorials, Video tutorials","Official documentation, Third-party online guidance, Online Q&A/Forums/Stack Overflow/MATLAB Central",MATLAB is inherently a bad language for science due toner being open source
University of Leeds,Doctoral Student (PhD/EngD or similar),Competent Practitioner,,Competent Practitioner,,Not aware of,Aware of and use with MATLAB,Aware of and use outside MATLAB,Aware of but don't use,Aware of and use outside MATLAB,Aware of but don't use,Aware of but don't use,Aware of but don't use,,I don't use git with MATLAB,,"Functions, Classes and Object-Oriented Programming, Custom toolbox development",,Would like to learn (in structured training),Not interested,Would like to learn (on my own),Would like to learn (in structured training),Would like to learn (in structured training),Would like to learn (on my own),Not interested,"Remote (online) lecture, Remote (online) practical, Video tutorials","Official documentation, Online Q&A/Forums/Stack Overflow/MATLAB Central",
Staff,Academic Researcher or Lecturer,Competent Practitioner,,Competent Practitioner,,"Aware of and use with MATLAB, Aware of and use outside MATLAB","Aware of and use with MATLAB, Aware of and use outside MATLAB",Aware of and use outside MATLAB,Aware of but don't use,Aware of and use outside MATLAB,"Aware of and use with MATLAB, Aware of and use outside MATLAB","Aware of and use with MATLAB, Aware of and use outside MATLAB","Aware of and use with MATLAB, Aware of and use outside MATLAB",,"git's command line interface, GitKraken Client",,"Functions, Projects (https://uk.mathworks.com/help/matlab/projects.html), Custom toolbox development",,Would like to learn (on my own),Would like to learn (on my own),Would like to learn (on my own),Would like to learn (in structured training),Would like to learn (on my own),Already familiar with,Would like to learn (in structured training),"In-person lecture, In-person practical, Written tutorials, Video tutorials","Official documentation, Third-party online guidance, Colleagues, Online Q&A/Forums/Stack Overflow/MATLAB Central",
netherlands escience center,Research Software Engineer/Software Developer,Novice,I have used it sporadically during my phd,Competent Practitioner,,Aware of and use outside MATLAB,Aware of and use outside MATLAB,Aware of and use outside MATLAB,Aware of and use outside MATLAB,Aware of and use outside MATLAB,Aware of and use outside MATLAB,Aware of and use outside MATLAB,Aware of and use outside MATLAB,,I don't use git with MATLAB,"I avoid using any proprietary software, like matlab. ","Functions, Classes and Object-Oriented Programming",,Not interested,Not interested,Not interested,Not interested,Not interested,Not interested,Not interested,"Remote (online) lecture, Remote (online) practical, Written tutorials","Colleagues, Online Q&A/Forums/Stack Overflow/MATLAB Central",no
University of Liverpool,Academic Researcher or Lecturer,Competent Practitioner,"Been coding for 40 years, about 12 years in Matlab",Expert,"Been coding for 40 years, about 12 years in Matlab",Aware of and use with MATLAB,Aware of and use with MATLAB,Aware of and use with MATLAB,Aware of but don't use,Aware of and use with MATLAB,Aware of and use with MATLAB,Aware of but don't use,Aware of and use with MATLAB,,GitHub Desktop,,"Functions, Classes and Object-Oriented Programming, Testing (https://uk.mathworks.com/help/matlab/matlab-unit-test-framework.html), Live Scripts (https://uk.mathworks.com/help/matlab/live-scripts-and-functions.html)",,Would like to learn (on my own),Would like to learn (on my own),Would like to learn (on my own),Would like to learn (on my own),Would like to learn (on my own),Would like to learn (on my own),Would like to learn (on my own),"Remote (online) practical, Written tutorials, Video tutorials","Official documentation, Third-party online guidance, Colleagues, Online Q&A/Forums/Stack Overflow/MATLAB Central",
University College London,"Academic Researcher or Lecturer, Research Software Engineer/Software Developer",Expert,,Expert,,Aware of and use with MATLAB,Aware of and use with MATLAB,Aware of and use outside MATLAB,Aware of and use with MATLAB,Aware of and use with MATLAB,Aware of and use outside MATLAB,Aware of and use outside MATLAB,Aware of and use with MATLAB,,git's command line interface,,"Functions, Classes and Object-Oriented Programming, Testing (https://uk.mathworks.com/help/matlab/matlab-unit-test-framework.html), Custom toolbox development",,Would like to learn (on my own),Already familiar with,Already familiar with,Already familiar with,Already familiar with,Already familiar with,Already familiar with,Written tutorials,Official documentation,
University of Quilmes,Doctoral Student (PhD/EngD or similar),Competent Practitioner,,Competent Practitioner,,Aware of and use with MATLAB,Aware of and use with MATLAB,Aware of but don't use,Not aware of,Aware of but don't use,Not aware of,Not aware of,Not aware of,,git's command line interface,,Functions,,Would like to learn (in structured training),Would like to learn (in structured training),Not interested,Would like to learn (in structured training),Not interested,Would like to learn (in structured training),Would like to learn (in structured training),"Remote (online) practical, Written tutorials","Official documentation, Colleagues, Online Q&A/Forums/Stack Overflow/MATLAB Central",Concerns about reproducibility when is a private software
IISLAFE,Research Technician,Competent Practitioner,,Competent Practitioner,,Not aware of,Aware of but don't use,Not aware of,Not aware of,Aware of and use with MATLAB,Aware of and use with MATLAB,Aware of but don't use,Aware of but don't use,,I don't use git with MATLAB,,"Functions, Live Scripts (https://uk.mathworks.com/help/matlab/live-scripts-and-functions.html), Custom toolbox development",,Would like to learn (in structured training),Would like to learn (on my own),Already familiar with,Would like to learn (in structured training),Would like to learn (in structured training),Already familiar with,Would like to learn (in structured training),"Remote (online) lecture, Written tutorials, Video tutorials","Official documentation, Online Q&A/Forums/Stack Overflow/MATLAB Central",
University of Manchester,Academic Researcher or Lecturer,Competent Practitioner,Very longtime user. I guess I've been using it on a daily basis (so expert) but I still look things up,Competent Practitioner,Perhaps novice,Aware of but don't use,Aware of and use outside MATLAB,Not aware of,Not aware of,Aware of but don't use,Aware of but don't use,Aware of but don't use,Not aware of,"Recommend some of these to students, but hardly ever use!",I don't use git with MATLAB,,Functions,time,Would like to learn (on my own),Would like to learn (on my own),Would like to learn (on my own),Would like to learn (on my own),Not interested,Would like to learn (on my own),Not interested,"In-person practical, Video tutorials","Official documentation, Colleagues, Online Q&A/Forums/Stack Overflow/MATLAB Central",
University of Sheffield,Academic Researcher or Lecturer,Competent Practitioner,,Competent Practitioner,,Aware of and use with MATLAB,Aware of and use with MATLAB,Not aware of,Not aware of,Not aware of,Not aware of,Not aware of,Not aware of,,GitHub Desktop,,"Functions, Classes and Object-Oriented Programming",,Would like to learn (on my own),Would like to learn (on my own),Would like to learn (on my own),Already familiar with,Not interested,Would like to learn (on my own),Not interested,Written tutorials,"Official documentation, Third-party online guidance, Colleagues, Online Q&A/Forums/Stack Overflow/MATLAB Central",
Sheffield University ,Doctoral Student (PhD/EngD or similar),Novice,,Novice,,Not aware of,Aware of and use with MATLAB,Not aware of,Not aware of,Aware of and use outside MATLAB,Not aware of,Not aware of,Not aware of,,GitHub Desktop,,Live Scripts (https://uk.mathworks.com/help/matlab/live-scripts-and-functions.html),,Would like to learn (on my own),Would like to learn (in structured training),Already familiar with,Would like to learn (in structured training),Would like to learn (in structured training),Would like to learn (on my own),Not interested,In-person practical,Colleagues,
university of sheffeild,Postdoctoral Researcher / Research Fellow,Competent Practitioner,,Competent Practitioner,,Aware of but don't use,Aware of but don't use,Aware of but don't use,Aware of but don't use,Aware of but don't use,Aware of but don't use,Aware of but don't use,Aware of but don't use,,I don't use git with MATLAB,,Live Scripts (https://uk.mathworks.com/help/matlab/live-scripts-and-functions.html),,Would like to learn (in structured training),Would like to learn (in structured training),Would like to learn (in structured training),Would like to learn (in structured training),Would like to learn (in structured training),Would like to learn (in structured training),Not interested,"In-person lecture, In-person practical, Remote (online) lecture, Remote (online) practical, Video tutorials",Online Q&A/Forums/Stack Overflow/MATLAB Central,
University of Sheffield,Doctoral Student (PhD/EngD or similar),Novice,,Expert,"Python, R more confident with but can use MATLAB with relative ease when needed.",Aware of but don't use,Aware of but don't use,Aware of and use outside MATLAB,Aware of but don't use,Aware of and use outside MATLAB,Aware of but don't use,Aware of but don't use,Aware of but don't use,,"I don't use git with MATLAB, Other development environment git interface (e.g. VScode, Rstudio, PyCharm)",,Functions,,Would like to learn (on my own),Would like to learn (on my own),Would like to learn (on my own),Would like to learn (on my own),Would like to learn (on my own),Would like to learn (on my own),Not interested,"Remote (online) lecture, Remote (online) practical, Written tutorials, Video tutorials","Official documentation, Third-party online guidance, Online Q&A/Forums/Stack Overflow/MATLAB Central",
University of Sheffield,Doctoral Student (PhD/EngD or similar),Competent Practitioner,,Competent Practitioner,,Aware of and use with MATLAB,Aware of and use with MATLAB,Aware of but don't use,Not aware of,Aware of and use outside MATLAB,Not aware of,Not aware of,Not aware of,,git's command line interface,,Functions,,Would like to learn (on my own),Would like to learn (in structured training),Would like to learn (in structured training),Already familiar with,Would like to learn (in structured training),Would like to learn (in structured training),Not interested,In-person practical,"Official documentation, Colleagues, Online Q&A/Forums/Stack Overflow/MATLAB Central",
Sheffield University ,Undergraduate student,Novice,,Novice,,Not aware of,Aware of and use outside MATLAB,Aware of and use outside MATLAB,Aware of but don't use,Aware of and use outside MATLAB,"Aware of and use with MATLAB, Not aware of",Aware of but don't use,Not aware of,,I don't use git with MATLAB,,Functions,,Not interested,Would like to learn (in structured training),Not interested,Not interested,Would like to learn (in structured training),Not interested,Not interested,"In-person lecture, In-person practical",Online Q&A/Forums/Stack Overflow/MATLAB Central,
University of Sheffield,Doctoral Student (PhD/EngD or similar),Expert,,Competent Practitioner,,Aware of but don't use,Aware of and use outside MATLAB,Aware of but don't use,Aware of but don't use,Aware of and use with MATLAB,Aware of and use with MATLAB,Aware of and use with MATLAB,Aware of but don't use,,I don't use git with MATLAB,,"Functions, Testing (https://uk.mathworks.com/help/matlab/matlab-unit-test-framework.html), Live Scripts (https://uk.mathworks.com/help/matlab/live-scripts-and-functions.html)",,Would like to learn (in structured training),Would like to learn (in structured training),Would like to learn (in structured training),Would like to learn (in structured training),Would like to learn (in structured training),Would like to learn (in structured training),Would like to learn (in structured training),In-person practical,"Official documentation, Colleagues, Online Q&A/Forums/Stack Overflow/MATLAB Central",
Biosciences,Postdoctoral Researcher / Research Fellow,Competent Practitioner,,Competent Practitioner,,Not aware of,Aware of and use with MATLAB,Not aware of,Aware of but don't use,Aware of but don't use,Aware of and use with MATLAB,Aware of and use with MATLAB,Aware of but don't use,,I don't use git with MATLAB,,"Functions, Custom toolbox development",,Would like to learn (in structured training),Not interested,Not interested,Would like to learn (in structured training),Already familiar with,Already familiar with,Would like to learn (in structured training),"In-person lecture, Remote (online) practical, Written tutorials","Official documentation, Online Q&A/Forums/Stack Overflow/MATLAB Central",
University of Sheffield International College,Academic Researcher or Lecturer,Competent Practitioner,,Novice,,Not aware of,Aware of but don't use,Not aware of,Aware of but don't use,Aware of and use with MATLAB,Aware of but don't use,Aware of but don't use,Aware of but don't use,,I don't use git with MATLAB,,"Functions, Classes and Object-Oriented Programming, Live Scripts (https://uk.mathworks.com/help/matlab/live-scripts-and-functions.html)",,Would like to learn (on my own),Would like to learn (on my own),Already familiar with,Would like to learn (on my own),Would like to learn (on my own),Not interested,Not interested,"In-person practical, Remote (online) practical, Video tutorials","Official documentation, Third-party online guidance, Online Q&A/Forums/Stack Overflow/MATLAB Central",
Student ,Undergraduate student,Novice,,Novice,,Not aware of,Not aware of,Not aware of,Not aware of,Not aware of,Not aware of,Not aware of,Not aware of,,I don't use git with MATLAB,,"Functions, Testing (https://uk.mathworks.com/help/matlab/matlab-unit-test-framework.html)",,Would like to learn (in structured training),Would like to learn (in structured training),Not interested,Not interested,Not interested,Not interested,Not interested,In-person lecture,Third-party online guidance,
,Undergraduate student,Competent Practitioner,Placement year as Software & Controls Engineer at Caterpillar where I worked with MATLAB/Simulink on daily basis,Competent Practitioner,"Competent in C/C++, Python. beginner in C# and Ruby",Aware of and use with MATLAB,Aware of and use with MATLAB,Aware of but don't use,Aware of and use outside MATLAB,"Aware of and use with MATLAB, Aware of and use outside MATLAB",Aware of and use with MATLAB,Not aware of,Aware of and use outside MATLAB,,"git's command line interface, Other development environment git interface (e.g. VScode, Rstudio, PyCharm)",,"Functions, Classes and Object-Oriented Programming, MATLAB's source control integration (https://uk.mathworks.com/help/matlab/source-control.html), Live Scripts (https://uk.mathworks.com/help/matlab/live-scripts-and-functions.html)",,Would like to learn (on my own),Would like to learn (on my own),Already familiar with,Already familiar with,Would like to learn (on my own),Would like to learn (in structured training),Already familiar with,"In-person lecture, In-person practical, Remote (online) lecture, Remote (online) practical, Written tutorials, Video tutorials, Blogs","Official documentation, Third-party online guidance, Online Q&A/Forums/Stack Overflow/MATLAB Central",
The University of Sheffield,Undergraduate student,Competent Practitioner,N/A,Competent Practitioner,N/A,Aware of but don't use,Aware of but don't use,Aware of but don't use,Aware of but don't use,Aware of but don't use,Aware of but don't use,Aware of but don't use,Aware of but don't use,N/A,I don't use git with MATLAB,N/A,"Functions, Classes and Object-Oriented Programming, Live Scripts (https://uk.mathworks.com/help/matlab/live-scripts-and-functions.html)",N/A,Would like to learn (on my own),Would like to learn (on my own),Would like to learn (on my own),Would like to learn (on my own),Would like to learn (in structured training),Would like to learn (on my own),Would like to learn (on my own),Video tutorials,Official documentation,N/A
University of Sheffield,Doctoral Student (PhD/EngD or similar),Novice,,Novice,,Aware of but don't use,Aware of but don't use,Not aware of,Aware of but don't use,Not aware of,Aware of but don't use,Aware of but don't use,Not aware of,,I don't use git with MATLAB,,Functions,,Would like to learn (in structured training),Would like to learn (in structured training),Would like to learn (on my own),Would like to learn (in structured training),Would like to learn (on my own),Not interested,Would like to learn (in structured training),"In-person practical, Remote (online) lecture, Remote (online) practical, Written tutorials","Official documentation, Online Q&A/Forums/Stack Overflow/MATLAB Central",
University of Sheffield,Academic Researcher or Lecturer,Competent Practitioner,,Competent Practitioner,,Aware of and use with MATLAB,Aware of and use with MATLAB,Aware of but don't use,Aware of but don't use,Aware of and use outside MATLAB,Aware of and use outside MATLAB,Aware of but don't use,Aware of but don't use,,GitHub Desktop,,"Functions, Classes and Object-Oriented Programming",,Would like to learn (on my own),Would like to learn (on my own),Would like to learn (on my own),Already familiar with,Not interested,Already familiar with,Already familiar with,Written tutorials,"Official documentation, Online Q&A/Forums/Stack Overflow/MATLAB Central",
